Customer,Total Claim Amount,Status,Region
Alice,1500.5,Active,North
Charlie,2500.0,Inactive,East
Eve,1200.8,Active,North
Frank,1800.0,Active,East
Alice,1500.5,Active,North
Charlie,2500.0,Inactive,East
Eve,1200.8,Active,North
Frank,1800.0,Active,East
Alice,1500.5,Active,North
Charlie,2500.0,Inactive,East
Eve,1200.8,Active,North
Frank,1800.0,Active,East
Alice,1500.5,Active,North
Charlie,2500.0,Inactive,East
Eve,1200.8,Active,North
Frank,1800.0,Active,East
Alice,1500.5,Active,North
Charlie,2500.0,Inactive,East
Eve,1200.8,Active,North
Frank,1800.0,Active,East
